KeyCode,JPName,5桁銘柄コード,4桁銘柄Code
1301,株式会社　極洋,13010,1301
1332,日本水産株式会社,13320,1332
1333,マルハニチロ株式会社,13330,1333
1334,株式会社マルハニチロホールディングス,13340,1334
1352,株式会社ホウスイ,13520,1352
1376,カネコ種苗株式会社,13760,1376
1377,株式会社　サカタのタネ,13770,1377
1379,ホクト株式会社,13790,1379
1380,株式会社秋川牧園,13800,1380
1381,株式会社アクシーズ,13810,1381
1382,株式会社ホーブ,13820,1382
1383,ベルグアース株式会社,13830,1383
1384,株式会社　ホクリヨウ,13840,1384
1400,ルーデン・ホールディングス株式会社,14000,1400
1401,株式会社エムビーエス,14010,1401
1405,サーラ住宅株式会社,14050,1405
1407,株式会社ウエストホールディングス,14070,1407
1408,サムシングホールディングス株式会社,14080,1408
1413,株式会社桧家ホールディングス,14130,1413
1414,ショーボンドホールディングス株式会社,14140,1414
1417,株式会社ミライト・ホールディングス,14170,1417
1418,インターライフホールディングス株式会社,14180,1418
1419,タマホーム株式会社,14190,1419
1420,サンヨーホームズ株式会社,14200,1420
1429,株式会社日本アクア,14290,1429
1430,ファーストコーポレーション株式会社,14300,1430
1433,ベステラ株式会社,14330,1433
1434,ＪＥＳＣＯホールディングス株式会社,14340,1434
1435,株式会社インベスターズクラウド,14350,1435
1436,株式会社フィット,14360,1436
1439,株式会社安江工務店,14390,1439
1491,中外鉱業株式会社,14910,1491
1514,住石ホールディングス株式会社,15140,1514
1515,日鉄鉱業株式会社,15150,1515
1518,三井松島産業株式会社,15180,1518
1605,国際石油開発帝石株式会社,16050,1605
1606,日本海洋掘削株式会社,16060,1606
1662,石油資源開発株式会社,16620,1662
1663,Ｋ＆Ｏエナジーグループ株式会社,16630,1663
1711,株式会社省電舎,17110,1711
1712,株式会社ダイセキ環境ソリューション,17120,1712
1716,第一カッター興業株式会社,17160,1716
1717,明豊ファシリティワークス株式会社,17170,1717
1718,美樹工業株式会社,17180,1718
1719,株式会社安藤・間,17190,1719
1720,東急建設株式会社,17200,1720
1721,コムシスホールディングス株式会社,17210,1721
1722,ミサワホーム株式会社,17220,1722
1723,日本電技株式会社,17230,1723
1724,シンクレイヤ株式会社,17240,1724
1726,株式会社ビーアールホールディングス,17260,1726
1728,ミサワホーム中国株式会社,17280,1728
1730,麻生フオームクリート株式会社,17300,1730
1734,株式会社北弘電社,17340,1734
1736,株式会社　オーテック,17360,1736
1737,三井金属エンジニアリング株式会社,17370,1737
1738,株式会社ニットー,17380,1738
1739,シード平和株式会社,17390,1739
1743,コーアツ工業株式会社,17430,1743
1757,クレアホールディングス株式会社,17570,1757
1758,太洋基礎工業株式会社,17580,1758
1762,株式会社髙松コンストラクショングループ,17620,1762
1764,工藤建設株式会社,17640,1764
1766,東建コーポレーション株式会社,17660,1766
1768,株式会社ソネック,17680,1768
1770,藤田エンジニアリング株式会社,17700,1770
1771,日本乾溜工業株式会社,17710,1771
1773,ワイ・ティー・エル・コーポレーション・バーハッド,17730,1773
1775,富士古河Ｅ＆Ｃ株式会社,17750,1775
1776,三井住建道路株式会社,17760,1776
1777,川崎設備工業株式会社,17770,1777
1780,株式会社　ヤマウラ,17800,1780
1782,常磐開発株式会社,17820,1782
1783,株式会社アジアゲートホールディングス,17830,1783
1787,株式会社ナカボーテック,17870,1787
1788,株式会社三東工業社,17880,1788
1789,山加電業株式会社,17890,1789
1793,株式会社大本組,17930,1793
1795,株式会社マサル,17950,1795
1798,株式会社　守谷商会,17980,1798
1799,第一建設工業株式会社,17990,1799
1801,大成建設株式会社,18010,1801
1802,株式会社大林組,18020,1802
1803,清水建設株式会社,18030,1803
1805,飛島建設株式会社,18050,1805
1807,株式会社佐藤渡辺,18070,1807
1808,株式会社　長谷工コーポレーション,18080,1808
1810,松井建設株式会社,18100,1810
1811,株式会社錢高組,18110,1811
1812,鹿島建設株式会社,18120,1812
1813,株式会社不動テトラ,18130,1813
1814,大末建設株式会社,18140,1814
1815,鉄建建設株式会社,18150,1815
1820,西松建設株式会社,18200,1820
1821,三井住友建設株式会社,18210,1821
1822,大豊建設株式会社,18220,1822
1824,前田建設工業株式会社,18240,1824
1826,佐田建設株式会社,18260,1826
1827,株式会社ナカノフドー建設,18270,1827
1828,田辺工業株式会社,18280,1828
1832,北海電気工事株式会社,18320,1832
1833,株式会社奥村組,18330,1833
1835,東鉄工業株式会社,18350,1835
1840,株式会社土屋ホールディングス,18400,1840
1841,サンユー建設株式会社,18410,1841
1844,株式会社大盛工業,18440,1844
1846,鈴縫工業株式会社,18460,1846
1847,株式会社イチケン,18470,1847
