No,FunctionCode,Describe,Memo
F1-1,ChangeWorkDir,WBSのWorkDir列から選んでcdする,
F1-2,GetFile,FileListのSrcDirからファイルを取得する,
F1-3,WatchTask,Taskを監視して時間になったらお知らせ,
F1-4,CreatePathInfo,ディレクトリ情報を作成する,
F1-5,CreateDriveInfo,ディスク情報を作成する,
F2-1,XLSFileToCSVFile,,
F2-2,InsertLineForFile,,
F2-3,AddLineForFile,ファイルに行を追加する,
F2-4,ReportXLSFile,,作成中
F3-1,GetData,データリストからデータを取得,
F3-2,CreatePatternData,,
F3-2,CreatePropertyData,プロパティデータを作成。,
F3-3,vlookup,,
F3-4,CreateMeasureData,,
F3-5,SplitRowGroupData,,
F3-6,DiffData,,
F3-7,CreateRowData,,
F3-8,OrderRowData,,
F3-9,InputValueForData,,
F4-1,CreatePatternData,2つのDataから組み合わせパターンDataを作成,
F5-1,OpenCSVFile,CSVファイルを開く,
F5-2,OpenXLSFile,エクセルファイルを開く,
F5-3,OpenWEBSite,WEBサイトを開く,
F5-4,OpenApp,アプリケーションを開く,
F5-5,ExeFunction,,
T5-1,ExeTicket,関数が吐き出された後のTicketを元に実行,
V1-1,GuessValueType,,
